freqs
1.7164
1.6908
1.7891
1.6810
1.7025
1.7011
1.7006
1.7258
1.7290
1.7044
1.6984
1.7530
1.7448
1.7177
1.7286
1.7465
1.7715
1.7375
1.8099
1.7008
1.7856
1.6903
1.7003
1.7662
1.7543
1.7192
1.7463
1.7418
1.8624
1.7643
1.6837
1.7134
1.8445
1.6927
1.7703
1.6825
1.8226
1.6467
1.7828
1.7460
1.7603
1.6330
1.8147
1.6760
1.7242
1.6640
1.7620
1.7226
1.8364
1.7778
